样本编号,类型,数据库ID,抽样方式,实体名,主语,关系,宾语,定义,别名,观察数,连接度,关系全库频次,证据数,来源位置,Passage IDs,原文证据,人工结论（合格/不合格/不确定）,问题类型（实体边界/重复或误合并/端点/关系/方向/证据/上下文/其他）,建议修改,备注
E11,Entity,1010,Entity全库确定性均匀抽样,先验,,,,贝叶斯统计中 $P(w)$，表示参数 $w$ 的先验分布。,$P(w)$ | 先验,1,3,,,"P001890 section 《动手学深度学习》 > 多层感知机 > 权重衰减 > 练习; page 1, chars 241136-241567",["P001890"],1. 在本节的估计问题中使用$\lambda$的值进行实验。绘制训练和测试精度关于$\lambda$的函数。观察到了什么？ 1. 使用验证集来找到最佳值$\lambda$。它真的是最优值吗？这有关系吗？ 1. 如果我们使用$\sum_i |w_i|$作为我们选择的惩罚（$L_1$正则化），那么更新方程会是什么样子？ 1. 我们知道$\|\mathbf{w}\|^2 = \mathbf{w}^\top \mathbf{w}$。能找到类似的矩阵方程吗（见 :numref:`subsec_lin-algebra-norms` 中的Frobenius范数）？ 1. 回顾训练误差和泛化误差之间的关系。除了权重衰减、增加训练数据、使用适当复杂度的模型之外，还能想出其他什么方法来处理过拟合？ 1. 在贝叶斯统计中，我们使用先验和似然的乘积，通过公式$P(w \mid x) \propto P(x \mid w) P(w)$得到后验。如何得到带正则化的$P(w)$？,凑合,,,其他都对，主要是证据不太对，证据和svm无关
E12,Entity,2705,Entity全库确定性均匀抽样,box_iou,,,,用于计算两个锚框或边界框列表之间成对交并比（IoU）的函数。,box_iou | box_iou 函数,3,2,,,"P006872 section 《动手学深度学习》 > 计算机视觉 > 锚框 > [**交并比（IoU）**]; page 1, chars 1069845-1069930; P006873 section 《动手学深度学习》 > 计算机视觉 > 锚框 > [**交并比（IoU）**]; page 1, chars 1069932-1070343","[""P006872"", ""P006873""]","接下来部分将使用交并比来衡量锚框和真实边界框之间、以及不同锚框之间的相似度。 给定两个锚框或边界框的列表，以下`box_iou`函数将在这两个列表中计算它们成对的交并比。 ```{.python .input} #@save def box_iou(boxes1, boxes2): """"""计算两个锚框或边界框列表中成对的交并比"""""" box_area = lambda boxes: ((boxes[:, 2] - boxes[:, 0]) * (boxes[:, 3] - boxes[:, 1])) # boxes1,boxes2,areas1,areas2的形状: # boxes1：(boxes1的数量,4), # boxes2：(boxes2的数量,4), # areas1：(boxes1的数量,), # areas2：(boxes2的数量,) areas1 = box_area(boxes1) areas2 = box_area(boxes2)",合格,,,
E13,Entity,1551,Entity全库确定性均匀抽样,证券,,,,投资者希望购买以期获得良好表现的金融产品,证券,1,3,,,"P003715 section 《动手学深度学习》 > 循环神经网络 > 序列模型 > 练习; page 1, chars 516594-516892",["P003715"],1. 改进本节实验中的模型。 1. 是否包含了过去$4$个以上的观测结果？真实值需要是多少个？ 1. 如果没有噪音，需要多少个过去的观测结果？提示：把$\sin$和$\cos$写成微分方程。 1. 可以在保持特征总数不变的情况下合并旧的观察结果吗？这能提高正确度吗？为什么？ 1. 改变神经网络架构并评估其性能。 1. 一位投资者想要找到一种好的证券来购买。他查看过去的回报，以决定哪一种可能是表现良好的。这一策略可能会出什么问题呢？ 1. 时间是向前推进的因果模型在多大程度上适用于文本呢？ 1. 举例说明什么时候可能需要隐变量自回归模型来捕捉数据的动力学模型。,不合格,,,是一个编程里面的例子，不能算entity
E14,Entity,3246,Entity全库确定性均匀抽样,TPU,,,,其他加速卡的代表，添加了用于快速矩阵乘法的脉动阵列，设计用于支持非常小数量（第一代支持数量为1）的大型操作。,TPU,1,1,,,"P006416 section 《动手学深度学习》 > 计算性能 > 硬件 > GPU和其他加速卡; page 1, chars 984328-984496; P006422 section 《动手学深度学习》 > 计算性能 > 硬件 > GPU和其他加速卡; page 1, chars 985599-985842","[""P006416"", ""P006422""]",毫不夸张地说，如果没有GPU，深度学习就不会成功。基于同样的原因，有理由认为GPU制造商的财富由于深度学习而显著增加。这种硬件和算法的协同进化导致了这样一种情况：无论好坏，深度学习都是更可取的统计建模范式。因此，了解GPU和其他加速卡（如TPU :cite:`Jouppi.Young.Patil.ea.2017`）的具体好处是值得的。 最后值得一提的是*张量核*（tensor core）。它们是最近增加更多优化电路趋势的一个例子，这些优化电路对深度学习特别有效。例如，TPU添加了用于快速矩阵乘法的脉动阵列 :cite:`Kung.1988`，这种设计是为了支持非常小数量（第一代TPU支持数量为1）的大型操作。而张量核是另一个极端。它们针对$4 \times 4$和$16 \times 16$矩阵之间的小型运算进行了优化，具体取决于它们的数值精度。 :numref:`fig_tensorcore`给出了优化的概述。,合格 ,,,
E15,Entity,397,Entity全库确定性均匀抽样,np.random.normal,,,,从正态分布中随机采样的函数，可指定均值、标准差和形状。,np.random.normal,2,3,,,"P000340 section 《动手学深度学习》 > 预备知识 > 数据操作 > 入门; page 1, chars 47085-47219; P000341 section 《动手学深度学习》 > 预备知识 > 数据操作 > 入门; page 1, chars 47221-47280","[""P000340"", ""P000341""]","有时我们想通过从某个特定的概率分布中随机采样来得到张量中每个元素的值。 例如，当我们构造数组来作为神经网络中的参数时，我们通常会随机初始化参数的值。 以下代码创建一个形状为（3,4）的张量。 其中的每个元素都从均值为0、标准差为1的标准高斯分布（正态分布）中随机采样。 ```{.python .input} np.random.normal(0, 1, size=(3, 4)) ```",合格,,,
E16,Entity,2092,Entity全库确定性均匀抽样,fancy_func,,,,"示例代码中定义的函数，依次调用add(a,b)、add(c,d)、add(e,f)并将结果作为返回值",fancy_func,1,3,,,"P006148 section 《动手学深度学习》 > 计算性能 > 编译器和解释器; page 1, chars 950426-950520; P006149 section 《动手学深度学习》 > 计算性能 > 编译器和解释器; page 1, chars 950522-950555","[""P006148"", ""P006149""]","def fancy_func(a, b, c, d): e = add(a, b) f = add(c, d) g = add(e, f) return g print(fancy_func(1, 2, 3, 4)) ```",不合格,,,是一个编程里面的例子，不能算entity
E17,Entity,3787,Entity全库确定性均匀抽样,git commit,,,,Git命令，使用-m参数附带提交信息将暂存区的更改提交到本地仓库,git commit,1,1,,,"P008993 section 《动手学深度学习》 > 附录：深度学习工具 > 为本书做贡献 > 提交主要更改 > 编辑和推送; page 1, chars 1449270-1449384",["P008993"],``` git add chapter_appendix_tools/how-to-contribute.md git commit -m 'fix typo in git documentation' git push ```,合格,,,
E18,Entity,938,Entity全库确定性均匀抽样,模型架构,,,,模型架构是模型的结构（包含神经元数量、层数等），可与超参数一起调整或修改。,模型架构,2,2,,,"P001736 section 《动手学深度学习》 > 多层感知机 > 模型选择、欠拟合和过拟合; page 1, chars 211593-211801",["P001736"],将模型在训练数据上拟合的比在潜在分布中更接近的现象称为*过拟合*（overfitting）， 用于对抗过拟合的技术称为*正则化*（regularization）。 在前面的章节中，有些读者可能在用Fashion-MNIST数据集做实验时已经观察到了这种过拟合现象。 在实验中调整模型架构或超参数时会发现： 如果有足够多的神经元、层数和训练迭代周期， 模型最终可以在训练集上达到完美的精度，此时测试集的准确性却下降了。,合格,,,
E19,Entity,2633,Entity全库确定性均匀抽样,分布式隐变量模型,,,,参数服务器核心思想被首次引入时所基于的统计学习模型背景,分布式隐变量模型,1,1,,,"P006573 section 《动手学深度学习》 > 计算性能 > 参数服务器; page 1, chars 1021256-1021443",["P006573"],参数服务器的核心思想首先是由 :cite:`Smola.Narayanamurthy.2010`在分布式隐变量模型的背景下引入的。然后，在 :cite:`Ahmed.Aly.Gonzalez.ea.2012`中描述了Push和Pull的语义，又在 :cite:`Li.Andersen.Park.ea.2014`中描述了系统和开源库。下面，我们将介绍用于提高计算效率的组件。,合格,,,
E20,Entity,1479,Entity全库确定性均匀抽样,train_ch6,,,,d2l 库中第 6 章定义的模型训练函数，接收网络、训练/测试数据迭代器、训练轮数、学习率和计算设备等参数进行训练，包含 MXNet、TensorFlow 和 Paddle 等多种实现。,d2l.train_ch6 | train_ch6,9,26,,,"P003141 section 《动手学深度学习》 > 卷积神经网络 > 卷积神经网络（LeNet） > 模型训练; page 1, chars 406195-406867; P003142 section 《动手学深度学习》 > 卷积神经网络 > 卷积神经网络（LeNet） > 模型训练; page 1, chars 406869-407993; P003145 section 《动手学深度学习》 > 卷积神经网络 > 卷积神经网络（LeNet） > 模型训练; page 1, chars 408725-408852","[""P003141"", ""P003142"", ""P003145""]","#@save def train_ch6(net_fn, train_iter, test_iter, num_epochs, lr, device): """"""用GPU训练模型(在第六章定义)"""""" device_name = device._device_name strategy = tf.distribute.OneDeviceStrategy(device_name) with strategy.scope(): optimizer = tf.keras.optimizers.SGD(learning_rate=lr) loss = tf.keras.losses.SparseCategoricalCrossentropy(from_logits=True) net = net_fn() net.compile(optimizer=optimizer, loss=loss, metrics=['accuracy']) callback = TrainCallback(net, train_iter, test_iter, num_epochs, device_name) net.fit(train_iter, epochs=num_epochs, verbose=0, callbacks=[callback]) return net ``` ```{.python .input} #@tab paddle #@save def train_ch6(net, train_iter, test_iter, num_epochs, lr, device): """"""用GPU训练模型(在第六章定义)"""""" def init_weights(m): if type(m) == nn.Linear or type(m) == nn.Conv2D: nn.initializer.XavierUniform(m.weight) net.apply(init_weights) print('training on', device) net.to(device) optimizer = paddle.optimizer.SGD(learning_rate=lr, parameters=net.parameters()) loss = nn.CrossEntropyLoss() animator = d2l.Animator(xlabel='epoch', xlim=[1, num_epochs], legend=['train loss', 'train acc', 'test acc']) timer, num_batches = d2l.Timer(), len(train_iter) for epoch in range(num_epochs): # 训练损失之…",不合格,,,是一个编程里面的例子，不能算entity
E21,Entity,3174,Entity全库确定性均匀抽样,paddle.optimizer.Adagrad,,,,PaddlePaddle 深度学习框架中提供的 AdaGrad 优化器类,paddle.optimizer.Adagrad,1,2,,,"P005876 section 《动手学深度学习》 > 优化算法 > AdaGrad算法 > 简洁实现; page 1, chars 904822-904960",["P005876"],"```{.python .input} #@tab paddle trainer = paddle.optimizer.Adagrad d2l.train_concise_ch11(trainer, {'learning_rate': 0.1}, data_iter) ```",合格,,,
E22,Entity,325,Entity全库确定性均匀抽样,CNTK,,,,一种采用符号式编程的深度学习框架，属于取代Caffe、Torch、Theano等第一代框架的第二代框架。,CNTK,2,1,,,"P000268 section 《动手学深度学习》 > 引言 > 深度学习的发展; page 1, chars 37542-38643",["P000268"],最近的工作，首先是由 :cite:`Li.2017` 完成的，随后是 :cite:`You.Gitman.Ginsburg.2017` 和 :cite:`Jia.Song.He.ea.2018` ，将观察大小提高到64000个，将ResNet-50模型在ImageNet数据集上的训练时间减少到不到7分钟。作为比较——最初的训练时间是按天为单位的。 * 并行计算的能力也对强化学习的进步做出了相当关键的贡献。这导致了计算机在围棋、雅达里游戏、星际争霸和物理模拟（例如，使用MuJoCo）中实现超人性能的重大进步。有关如何在AlphaGo中实现这一点的说明，请参见如 :cite:`Silver.Huang.Maddison.ea.2016` 。简而言之，如果有大量的（状态、动作、奖励）三元组可用，即只要有可能尝试很多东西来了解它们之间的关系，强化学习就会发挥最好的作用。仿真提供了这样一条途径。 * 深度学习框架在传播思想方面发挥了至关重要的作用。允许轻松建模的第一代框架包括[Caffe](https://github.com/BVLC/caffe)、[Torch](https://github.com/torch)和[Theano](https://github.com/Theano/Theano)。许多开创性的论文都是用这些工具写的。到目前为止，它们已经被[TensorFlow](https://github.com/tensorflow/tensorflow)（通常通过其高级API [Keras](https://github.com/keras-team/keras)使用）、[CNTK](https://github.com/Microsoft/CNTK)、[Caffe 2](https://github.com/caffe2/caffe2)和[Apache MXNet](https://github.com/apache/incubator-mxnet)所取代。第三代工具，即用于深度学习的命令式工具，可以说是由[Chainer](https://github.com/chainer/chainer)率先推出的，它使用类似于Python NumPy的语法来描述模型。这个想法被[PyTorch](https://github.com/pytorch/pytorch)、MXNet的[Gluon API](https://github.com/apache/incubator-mxnet)和[Jax](https://github.com/google/jax)都采纳了。,合格,,,
E23,Entity,2020,Entity全库确定性均匀抽样,tf.keras.optimizers.RMSprop,,,,TensorFlow 中提供的 RMSProp 优化器类，被赋值给 trainer 用于调用 `d2l.train_concise_ch11` 进行训练,tf.keras.optimizers.RMSprop,1,0,,,"P005920 section 《动手学深度学习》 > 优化算法 > RMSProp算法 > 简洁实现; page 1, chars 911620-911801",["P005920"],"```{.python .input} #@tab tensorflow trainer = tf.keras.optimizers.RMSprop d2l.train_concise_ch11(trainer, {'learning_rate': 0.01, 'rho': 0.9}, data_iter) ```",合格,,,
E24,Entity,3715,Entity全库确定性均匀抽样,时钟频率,,,,CPU的核心运行速度；少核高频CPU在深度学习服务器中比多核低频更经济,时钟速度 | 时钟频率,1,0,,,"P008942 section 《动手学深度学习》 > 附录：深度学习工具 > 选择服务器和GPU > 选择服务器; page 1, chars 1443082-1443329; P008945 section 《动手学深度学习》 > 附录：深度学习工具 > 选择服务器和GPU > 选择服务器; page 1, chars 1443827-1444700","[""P008942"", ""P008945""]",通常不需要购买具有多个线程的高端CPU，因为大部分计算都发生在GPU上。这就是说，由于Python中的全局解释器锁（GIL），CPU的单线程性能在有4-8个GPU的情况下可能很重要。所有的条件都是一样的，这意味着核数较少但时钟频率较高的CPU可能是更经济的选择。例如，当在6核4GHz和8核3.5GHz CPU之间进行选择时，前者更可取，即使其聚合速度较低。一个重要的考虑因素是，GPU使用大量的电能，从而释放大量的热量。这需要非常好的冷却和足够大的机箱来容纳GPU。如有可能，请遵循以下指南： * **初学者**。购买低功耗的低端GPU（适合深度学习的廉价游戏GPU，功耗150-200W）。如果幸运的话，大家现在常用的计算机将支持它。 * **1个GPU**。一个4核的低端CPU就足够了，大多数主板也足够了。以至少32 GB的DRAM为目标，投资SSD进行本地数据访问。600W的电源应足够。买一个有很多风扇的GPU。 * **2个GPU**。一个4-6核的低端CPU就足够了。可以考虑64 GB的DRAM并投资于SSD。两个高端GPU将需要1000瓦的功率。对于主板，请确保它们具有*两个*PCIe 3.0 x16插槽。如果可以，请使用PCIe 3.0 x16插槽之间有两个可用空间（60毫米间距）的主板，以提供额外的空气。在这种情况下，购买两个具有大量风扇的GPU。 * **4个GPU**。确保购买的CPU具有相对较快的单线程速度（即较高的时钟频率）。可能需要具有更多PCIe通道的CPU，例如AMD Threadripper。可能需要相对昂贵的主板才能获得4个PCIe 3.0 x16插槽，因为它们可能需要一个PLX来多路复用PCIe通道。购买带有公版设计的GPU，这些GPU很窄，并且让空气进入GPU之间。需要一个1600-2000W的电源，而办公室的插座可能不支持。此服务器可能在运行时*声音很大，很热*。不想把它放在桌子下面。建议使用128 GB的DRAM。获取一个用于本地存储的SSD（1-2 TB NVMe）和RAID配置的硬盘来存储数据。 * **8 GPU**。需要购买带有多个冗余电源的专用多GPU服务器机箱（例如，每个电源为1600W时为2+1）。这将需要双插槽服务器CPU、256 GB ECC DRAM、快速网卡（建议使用10 GBE），并且需要检查服务器是否支持GPU的*物理外形*。用户GPU和服务器GPU之间的气流和布线位置存在显著差异（例如RTX 2080和Tesla V100）。这意味着可能无法在服务器中安装消费级GPU，因为电源线间隙不足或缺少合适的接线（本书一位合著者痛苦地发现了这一点）。,合格,,,
E25,Entity,866,Entity全库确定性均匀抽样,predict_ch3,,,,predict_ch3 是 d2l 包中用于在测试数据上对训练好的模型进行预测的函数，接收网络和测试数据迭代器等参数，通过 argmax 获取预测标签，并将真实标签与预测标签拼接后借助 show_images 将前 n 张 28×28 图像及其标签可视化。,d2l.predict_ch3 | predict_ch3,2,5,,,"P001498 section 《动手学深度学习》 > 线性神经网络 > softmax回归的从零开始实现 > 预测; page 1, chars 183708-184118",["P001498"],"```{.python .input} #@tab all def predict_ch3(net, test_iter, n=6): #@save """"""预测标签（定义见第3章）"""""" for X, y in test_iter: break trues = d2l.get_fashion_mnist_labels(y) preds = d2l.get_fashion_mnist_labels(d2l.argmax(net(X), axis=1)) titles = [true +'\n' + pred for true, pred in zip(trues, preds)] d2l.show_images( d2l.reshape(X[0:n], (n, 28, 28)), 1, n, titles=titles[0:n])",不合格,,,是一个编程里面的例子，不能算entity
C01,Claim,616,Claim全库确定性均匀抽样,,结果,是样本空间的元素,样本空间,,,,,1,1,"P000908 section 《动手学深度学习》 > 预备知识 > 概率 > 基本概率论 > 概率论公理; page 1, chars 103025-103334",["P000908"],"在处理骰子掷出时，我们将集合$\mathcal{S} = \{1, 2, 3, 4, 5, 6\}$ 称为*样本空间*（sample space）或*结果空间*（outcome space）， 其中每个元素都是*结果*（outcome）。 *事件*（event）是一组给定样本空间的随机结果。 例如，“看到$5$”（$\{5\}$）和“看到奇数”（$\{1, 3, 5\}$）都是掷出骰子的有效事件。 注意，如果一个随机实验的结果在$\mathcal{A}$中，则事件$\mathcal{A}$已经发生。 也就是说，如果投掷出$3$点，因为$3 \in \{1, 3, 5\}$，我们可以说，“看到奇数”的事件发生了。",合格,,,
C02,Claim,2311,Claim全库确定性均匀抽样,,稠密连接网络（DenseNet）,uses,批量规范化,,,,,629,1,"P003560 section 《动手学深度学习》 > 现代卷积神经网络 > 稠密连接网络（DenseNet） > (**稠密块体**); page 1, chars 490140-490220",["P003560"],DenseNet使用了ResNet改良版的“批量规范化、激活和卷积”架构（参见 :numref:`sec_resnet`中的练习）。 我们首先实现一下这个架构。,合格,,,
C03,Claim,4006,Claim全库确定性均匀抽样,,深度循环神经网络,可能需要调整参数,修剪（深度循环神经网络调参技术）,,,,,3,1,"P004351 section 《动手学深度学习》 > 现代循环神经网络 > 深度循环神经网络 > 小结; page 1, chars 626090-626264",["P004351"],* 在深度循环神经网络中，隐状态的信息被传递到当前层的下一时间步和下一层的当前时间步。 * 有许多不同风格的深度循环神经网络， 如长短期记忆网络、门控循环单元、或经典循环神经网络。 这些模型在深度学习框架的高级API中都有涵盖。 * 总体而言，深度循环神经网络需要大量的调参（如学习率和修剪） 来确保合适的收敛，模型的初始化也需要谨慎。,合格,,,
C04,Claim,5701,Claim全库确定性均匀抽样,,学习率,广泛学习率选择下保证收敛,随机梯度下降,,,,,1,1,"P005606 section 《动手学深度学习》 > 优化算法 > 随机梯度下降 > 小结; page 1, chars 860620-860872",["P005606"],* 对于凸问题，我们可以证明，对于广泛的学习率选择，随机梯度下降将收敛到最优解。 * 对于深度学习而言，情况通常并非如此。但是，对凸问题的分析使我们能够深入了解如何进行优化，即逐步降低学习率，尽管不是太快。 * 如果学习率太小或太大，就会出现问题。实际上，通常只有经过多次实验后才能找到合适的学习率。 * 当训练数据集中有更多样本时，计算梯度下降的每次迭代的代价更高，因此在这些情况下，首选随机梯度下降。 * 随机梯度下降的最优性保证在非凸情况下一般不可用，因为需要检查的局部最小值的数量可能是指数级的。,不合格,,,忽略了前提条件
C05,Claim,1157,Claim全库确定性均匀抽样,,线性模型,可表示,仿射变换,,,,,6,1,"P001574 section 《动手学深度学习》 > 多层感知机 > 多层感知机 > 隐藏层 > 从线性到非线性; page 1, chars 192865-193022",["P001574"],注意在添加隐藏层之后，模型现在需要跟踪和更新额外的参数。 可我们能从中得到什么好处呢？在上面定义的模型里，我们没有好处！ 原因很简单：上面的隐藏单元由输入的仿射函数给出， 而输出（softmax操作前）只是隐藏单元的仿射函数。 仿射函数的仿射函数本身就是仿射函数， 但是我们之前的线性模型已经能够表示任何仿射函数。,合格,,,
